f_1_name,f_2_name,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg
Dricus Du Plessis,Kamaru Usman,2026-07-18,1,0.0,2.539999999999992,-6.680355920602331,1.08,-0.020000000000000018,1.3800000000000003,0.0,-0.7000000000000002,0.06,-0.4,0.5
Jared Cannonier,Christian Leroy Duncan,2026-07-18,0,-5.079999999999984,-7.6200000000000045,11.353867214236825,-0.20000000000000018,-0.07999999999999996,2.0000000000000004,0.010000000000000009,0.34,0.25,0.07000000000000006,0.0
Mitch Ramirez,Chase Hooper,2026-07-18,0,-10.159999999999997,-5.079999999999984,6.858316221765914,-1.1700000000000004,-0.04999999999999999,0.7999999999999998,-0.010000000000000009,-1.96,0.010000000000000009,-0.22000000000000003,-2.2
Tabatha Ricci,Fatima Kline,2026-07-18,0,-15.240000000000009,-12.699999999999989,5.3880903490759735,-1.1099999999999999,-0.12,2.33,-0.030000000000000027,-0.7599999999999998,-0.32,-0.10999999999999999,-0.1
Tommy McMillen,Alberto Montes,2026-07-18,1,12.700000000000017,12.699999999999989,-3.5427789185489367,8.84,0.020000000000000018,-6.6499999999999995,0.06999999999999995,0.0,0.0,0.05999999999999994,-3.4
Jose Delgado,Austin Bashi,2026-07-18,1,7.619999999999976,12.700000000000017,3.441478439425051,4.180000000000001,0.11000000000000004,1.8399999999999999,0.0,-4.72,0.030000000000000027,0.0,-1.4
Jean-Paul Lebosnoyani,Seokhyeon Ko,2026-07-18,1,2.539999999999992,2.539999999999992,-5.341546885694729,0.9899999999999998,-0.03999999999999998,2.12,-0.050000000000000044,-0.10999999999999988,-0.10000000000000003,0.5,1.7
Levi Rodrigues Jr.,Felipe Franco,2026-07-18,0,0.0,-2.539999999999992,4.271047227926076,0.050000000000000266,-0.06999999999999995,2.2099999999999995,-0.14,-3.7,-0.4,-0.30000000000000004,0.0
Damien Anderson,Ezra Elliott,2026-07-18,0,-7.6200000000000045,-2.539999999999992,3.3675564681724843,0.06999999999999995,-0.19000000000000006,-0.06999999999999995,-0.2,-12.0,-0.66,-0.6699999999999999,-2.0
Stewart Nicoll,Alden Coria,2026-07-18,0,-5.0800000000000125,-7.6200000000000045,3.4688569472963735,-1.04,-0.03999999999999998,2.5999999999999996,-0.1499999999999999,0.6099999999999999,-0.32000000000000006,-0.23000000000000004,-1.5
