f_1_name,f_2_name,f_1_odds,f_2_odds,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg,delta_elo,delta_win_streak,delta_loss_streak,delta_win_rate_last_5,delta_ufc_win_rate,delta_ufc_fights,delta_rank,is_ranked_f1,is_ranked_f2,delta_win_rate_3y,delta_SlpM_3y,delta_SApM_3y,delta_TD_Def_3y
Joe Lauzon,Sam Stout,1.62,2.31,2010-01-02,0,2.539999999999992,2.5400000000000205,-0.07939767282683263,-1.33,0.10999999999999999,1.3099999999999996,-0.029999999999999916,1.7600000000000002,0.07,-0.22999999999999998,1.9,72.47099131160599,1,0,0.4,0.4047619047619048,-1,-0.0,0.0,0.0,-0.0,-1.33,1.3099999999999996,-0.22999999999999998
Rashad Evans,Thiago Silva,1.67,2.22,2010-01-02,1,2.539999999999992,-5.0800000000000125,3.132101300479121,-1.7799999999999998,-0.13,-0.1299999999999999,-0.040000000000000036,1.95,-0.02999999999999997,0.030000000000000027,-0.7,46.10840004473448,-1,1,0.0,0.05555555555555547,3,0.0,0.0,0.0,0.0,-1.7800000000000002,-0.13000000000000034,0.029999999999999916
Paul Daley,Dustin Hazelett,2.13,1.72,2010-01-02,1,0.0,-10.159999999999997,3.1841204654346313,0.8999999999999999,0.06999999999999995,-1.1399999999999997,0.13999999999999996,0.36,-0.09999999999999998,0.39,-4.1,-30.738042922122986,-1,0,0.19999999999999996,0.2857142857142857,-6,0.0,0.0,0.0,0.0,0.8999999999999999,-1.1399999999999992,0.39
Jim Miller,Duane Ludwig,1.81,2.01,2010-01-02,1,2.539999999999992,-5.0800000000000125,-5.07049965776865,-1.7000000000000002,-0.020000000000000018,0.38000000000000034,-0.009999999999999898,1.06,0.2,-0.12,1.5999999999999999,15.630516750176639,0,0,-0.19999999999999996,-0.19999999999999996,3,0.0,0.0,0.0,-0.5,0.029999999999999583,0.0,0.0
John Gunderson,Rafaello Oliveira,1.83,1.98,2010-01-02,0,-5.0800000000000125,2.539999999999992,3.058179329226558,-1.15,-0.06,-1.67,-0.010000000000000009,-0.8200000000000003,-0.02999999999999997,-0.0,0.3999999999999999,16.0,0,-1,0.5,0.5,-1,-0.0,0.0,0.0,0.5,0.029999999999999583,0.0,0.0
Martin Kampmann,Jacob Volkmann,1.57,2.41,2010-01-02,1,2.539999999999992,7.6200000000000045,-1.6125941136208084,2.0300000000000002,0.07999999999999996,1.4999999999999998,0.09999999999999998,-1.3299999999999998,-0.07,0.26,0.0,67.5165758633666,0,0,0.6,0.75,7,0.0,0.0,0.0,0.0,2.0300000000000002,1.4999999999999998,0.2600000000000001
Cole Miller,Dan Lauzon,1.69,2.18,2010-01-02,1,0.0,7.619999999999976,3.9260780287474333,1.66,0.08000000000000002,-0.20999999999999996,-0.020000000000000018,-1.0299999999999998,0.02999999999999997,-0.42000000000000004,-0.9000000000000001,42.6554971938765,0,0,0.6,0.6666666666666666,5,0.0,0.0,0.0,-0.5,0.029999999999999583,0.0,0.0
Mark Munoz,Ryan Jensen,1.81,2.01,2010-01-02,1,-12.699999999999989,-2.539999999999992,-0.3887748117727554,0.28000000000000025,0.12,-0.7300000000000004,-0.020000000000000018,1.6199999999999999,-0.21000000000000002,0.25999999999999995,-1.2999999999999998,28.55815605200314,0,0,0.25,0.25,-2,0.0,0.0,0.0,0.0,0.28000000000000025,-0.7300000000000004,0.25999999999999995
Jake Ellenberger,Mike Pyle,1.96,1.86,2010-01-02,1,-7.6200000000000045,-7.6200000000000045,-9.524982888432579,-0.27,-0.06,-0.009999999999999787,0.0,0.24,0.12,0.16000000000000003,-1.1,-17.576219619780204,-1,1,-0.5,-0.5,-1,0.0,0.0,0.0,0.0,-0.27,-0.009999999999999787,0.16000000000000003
Gilbert Yvel,Junior Dos Santos,2.18,1.69,2010-01-02,0,-0.0,-5.079999999999984,7.583846680355922,-3.4400000000000004,-0.0,-1.55,-0.06000000000000005,-0.3,-0.5,-0.56,0.9,-46.95099192556813,-3,0,-0.5,-0.5,-3,-0.0,0.0,0.0,0.5,0.029999999999999583,0.0,0.0
Gray Maynard,Nate Diaz,1.52,2.55,2010-01-11,1,-15.23999999999998,-7.6200000000000045,5.938398357289529,-2.6500000000000004,-0.13,-1.13,0.14,1.86,0.16999999999999998,0.4000000000000001,-0.6000000000000001,39.56081778628959,5,0,0.4,0.25,-2,0.0,0.0,0.0,0.0,-2.6500000000000004,-1.13,0.4000000000000002
Efrain Escudero,Evan Dunham,1.78,2.05,2010-01-11,0,2.539999999999992,-2.5400000000000205,-4.076659822039698,-2.41,0.04999999999999999,-1.2400000000000002,0.020000000000000018,-0.51,0.07,-0.13,-0.19999999999999996,2.774523734861532,0,0,-0.0,-0.0,0,-0.0,0.0,0.0,-0.0,-2.41,-1.2400000000000002,-0.13
Aaron Simpson,Tom Lawlor,1.88,1.93,2010-01-11,1,-2.5400000000000205,0.0,8.818617385352496,1.1,0.10000000000000003,0.11999999999999966,-0.039999999999999925,1.3199999999999998,0.020000000000000018,0.26,-0.8999999999999999,-0.7236352291395178,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.1,0.11999999999999966,0.26
Amir Sadollah,Brad Blackburn,2.2,1.68,2010-01-11,1,5.0800000000000125,0.0,-3.258042436687198,0.16000000000000014,0.11000000000000004,-0.040000000000000036,-0.050000000000000044,-0.3600000000000001,-0.22999999999999998,-0.16000000000000003,-0.39999999999999997,-31.894182936253856,-2,0,-0.33333333333333337,-0.33333333333333337,0,0.0,0.0,0.0,0.0,0.16000000000000014,-0.04000000000000048,-0.16000000000000014
Chris Leben,Jay Silva,1.74,2.11,2010-01-11,1,0.0,-7.6200000000000045,0.8432580424366876,1.7400000000000002,0.07999999999999996,-0.19999999999999973,0.12,1.14,0.41,0.15000000000000002,-0.19999999999999996,40.547586016916284,0,1,0.4,0.6153846153846154,12,0.0,0.0,0.0,0.0,1.7400000000000002,-0.19999999999999973,0.15000000000000002
Rory MacDonald,Mike Guymon,1.85,1.97,2010-01-11,1,5.079999999999984,0.0,-14.844626967830251,1.0,-0.23000000000000004,2.01,-0.040000000000000036,-0.10000000000000009,0.09999999999999998,0.33999999999999997,-0.7999999999999999,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.029999999999999583,0.0,0.0
Rafael Dos Anjos,Kyle Bradley,1.95,1.86,2010-01-11,1,-2.539999999999992,-2.539999999999992,-2.187542778918548,1.49,0.06999999999999995,-0.2200000000000002,0.020000000000000018,1.2999999999999998,-0.15000000000000002,0.14,0.6,3.917386060570607,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.49,-0.22000000000000064,0.13999999999999996
Gerald Harris,John Salter,1.82,2.0,2010-01-11,1,7.6200000000000045,-5.079999999999984,5.336071184120463,-0.27,-0.030000000000000027,-0.09999999999999987,-0.06000000000000005,0.10999999999999988,0.08000000000000002,0.05999999999999994,-0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.029999999999999583,0.0,0.0
Jesse Forbes,Nick Catone,1.83,1.98,2010-01-11,0,7.6200000000000045,5.0800000000000125,-3.145790554414784,-0.0,-0.2,1.7399999999999998,-0.09999999999999998,-1.92,0.31,-0.16999999999999993,0.7,-0.06294447092545852,0,-1,-0.3333333333333333,-0.3333333333333333,-2,-0.0,0.0,0.0,0.5,0.029999999999999583,0.0,0.0
Rick Story,Jesse Lennox,1.96,1.85,2010-01-11,1,-2.539999999999992,0.0,-2.4695414099931554,1.1099999999999999,0.08999999999999997,-1.0300000000000002,-0.020000000000000018,1.3099999999999998,-0.18000000000000005,0.0,0.6000000000000001,-14.56122603395329,0,0,-0.5,-0.5,1,0.0,0.0,0.0,0.0,1.1099999999999999,-1.0300000000000002,0.0
